# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
2.934392956555831322e+00,5.068291732764447222e-01,1.040866497674836771e-03
2.939870591681442047e+00,5.080859857944164393e-01,1.045446388838001733e-03
2.945372328815103913e+00,5.093459361444514499e-01,1.050046431868013799e-03
2.950898274007471844e+00,5.106090296787538785e-01,1.054666715434608368e-03
2.956448533775831056e+00,5.118752718661503387e-01,1.059307328597673594e-03
2.962023215106150964e+00,5.131446682956479766e-01,1.063968360808968845e-03
2.967622425455148871e+00,5.144172246800615689e-01,1.068649901913848368e-03
2.973246272752358088e+00,5.156929468597160060e-01,1.073352042152991240e-03
2.978894865402210268e+00,5.169718408062227155e-01,1.078074872164143687e-03
2.984568312286124847e+00,5.182539126263302487e-01,1.082818482983864206e-03
2.990266722764609142e+00,5.195391685658545811e-01,1.087582966049279332e-03
2.995990206679362888e+00,5.208276150136840199e-01,1.092368413199846112e-03
3.001738874355398323e+00,5.221192585058671565e-01,1.097174916679121088e-03
3.007512836603165596e+00,5.234141057297787558e-01,1.102002569136540126e-03
3.013312204720691057e+00,5.247121635283696905e-01,1.106851463629203881e-03
3.019137090495719544e+00,5.260134389044992531e-01,1.111721693623671497e-03
3.024987606207869106e+00,5.273179390253518450e-01,1.116613352997760170e-03
3.030863864630798155e+00,5.286256712269424840e-01,1.121526536042358798e-03
3.036765979034377949e+00,5.299366430187069099e-01,1.126461337463241855e-03
3.042694063186874853e+00,5.312508620881826182e-01,1.131417852382897568e-03
3.048648231357145466e+00,5.325683363057797104e-01,1.136396176342360006e-03
3.054628598316835308e+00,5.338890737296436706e-01,1.141396405303049403e-03
3.060635279342596604e+00,5.352130826106140660e-01,1.146418635648625275e-03
3.066668390218306506e+00,5.365403713972739519e-01,1.151462964186842578e-03
3.072728047237299975e+00,5.378709487410995305e-01,1.156529488151416315e-03
3.078814367204610214e+00,5.392048235017075086e-01,1.161618305203897857e-03
3.084927467439223747e+00,5.405420047522007110e-01,1.166729513435557338e-03
3.091067465776337730e+00,5.418825017846163883e-01,1.171863211369273197e-03
3.097234480569634574e+00,5.432263241154775546e-01,1.177019497961432574e-03
3.103428630693560564e+00,5.445734814914496846e-01,1.182198472603837765e-03
3.109650035545617808e+00,5.459239838951011059e-01,1.187400235125621794e-03
3.115898815048668613e+00,5.472778415507763006e-01,1.192624885795174824e-03
3.122175089653244306e+00,5.486350649305741234e-01,1.197872525322075119e-03
3.128478980339865156e+00,5.499956647604418158e-01,1.203143254859029331e-03
3.134810608621378503e+00,5.513596520263801537e-01,1.208437176003825369e-03
3.141170096545295110e+00,5.527270379807647238e-01,1.213754390801288514e-03
3.147557566696145059e+00,5.540978341487847736e-01,1.219095001745248595e-03
3.153973142197838531e+00,5.554720523350006323e-01,1.224459111780516491e-03
3.160416946716042119e+00,5.568497046300215914e-01,1.229846824304868655e-03
3.166889104460558269e+00,5.582308034173090183e-01,1.235258243171037489e-03
3.173389740187722907e+00,5.596153613801010396e-01,1.240693472688716905e-03
3.179918979202811080e+00,5.610033915084677858e-01,1.246152617626571785e-03
3.186476947362447021e+00,5.623949070699806319e-01,1.251635783214255027e-03
3.193063771077035984e+00,5.637899187593428119e-01,1.257143075144439778e-03
3.199679577313198298e+00,5.651884325573329759e-01,1.262674599574854263e-03
3.206324493596216296e+00,5.665904540828602398e-01,1.268230463130328540e-03
3.212998648012495018e+00,5.679959890716413939e-01,1.273810772904851235e-03
3.219702169212026455e+00,5.694050433798925059e-01,1.279415636463630173e-03
3.226435186410874234e+00,5.708176229880965735e-01,1.285045161845170146e-03
3.233197829393661848e+00,5.722337340048491150e-01,1.290699457563353062e-03
3.239990228516075543e+00,5.736533826707791439e-01,1.296378632609530455e-03
3.246812514707375197e+00,5.750765753625516341e-01,1.302082796454622719e-03
3.253664819472920300e+00,5.765033185969518081e-01,1.307812059051231563e-03
3.260547274896703485e+00,5.779336190350496949e-01,1.313566530835758982e-03
3.267460013643897376e+00,5.793674834864477319e-01,1.319346322730534241e-03
3.274403168963411659e+00,5.808049189136170742e-01,1.325151546145954739e-03
3.281376874690458578e+00,5.822459324363147282e-01,1.330982312982629699e-03
3.288381265249138874e+00,5.836905313360944980e-01,1.336838735633541411e-03
3.295416475655029043e+00,5.851387230609023105e-01,1.342720926986210386e-03
3.302482641517781481e+00,5.865905152297645753e-01,1.348629000424867667e-03
3.309579899043743723e+00,5.880459156375692498e-01,1.354563069832646644e-03
3.316708385038580786e+00,5.895049322599390518e-01,1.360523249593773151e-03
3.323868236909913954e+00,5.909675732582011509e-01,1.366509654595773546e-03
3.331059592669967095e+00,5.924338469844536714e-01,1.372522400231687137e-03
3.338282590938229433e+00,5.939037619867303386e-01,1.378561602402292264e-03
3.345537370944124511e+00,5.953773270142650453e-01,1.384627377518337374e-03
3.352824072529696942e+00,5.968545510228592255e-01,1.390719842502789001e-03
3.360142836152308909e+00,5.983354431803517004e-01,1.396839114793083656e-03
3.367493802887342014e+00,5.998200128721934421e-01,1.402985312343389256e-03
3.374877114430922198e+00,6.013082697071305827e-01,1.409158553626883251e-03
3.382292913102648235e+00,6.028002235229938943e-01,1.415358957638032916e-03
3.389741341848337530e+00,6.042958843926009571e-01,1.421586643894890388e-03
3.397222544242777698e+00,6.057952626297691268e-01,1.427841732441396385e-03
3.404736664492499454e+00,6.072983687954423004e-01,1.434124343849694973e-03
3.412283847438547291e+00,6.088052137039332568e-01,1.440434599222453543e-03
3.419864238559283898e+00,6.103158084292862329e-01,1.446772620195203819e-03
3.427477983973183928e+00,6.118301643117556310e-01,1.453138528938682219e-03
3.435125230441654409e+00,6.133482929644084036e-01,1.459532448161183875e-03
3.442806125371864479e+00,6.148702062798501178e-01,1.465954501110931394e-03
3.450520816819586667e+00,6.163959164370744759e-01,1.472404811578448833e-03
3.458269453492048839e+00,6.179254359084429549e-01,1.478883503898947155e-03
3.466052184750803455e+00,6.194587774667926761e-01,1.485390702954722921e-03
3.473869160614601714e+00,6.209959541926748372e-01,1.491926534177561532e-03
3.481720531762292126e+00,6.225369794817307012e-01,1.498491123551160421e-03
3.489606449535720412e+00,6.240818664787127767e-01,1.505084597613553978e-03
3.497527065942648505e+00,6.256306239525464274e-01,1.511707083459553876e-03
3.505482533659680655e+00,6.271832585745896749e-01,1.518358708743196544e-03
3.513473006035213952e+00,6.287397771437492899e-01,1.525039601680208213e-03
3.521498637092387973e+00,6.303001866058086655e-01,1.531749891050472774e-03
3.529559581532056178e+00,6.318644940578536096e-01,1.538489706200515906e-03
3.537655994735767528e+00,6.334327067527936173e-01,1.545259177045998304e-03
3.545788032768760090e+00,6.350048321039682975e-01,1.552058434074216715e-03
3.553955852382973291e+00,6.365808776898499444e-01,1.558887608346624714e-03
3.562159611020065508e+00,6.381608512588382576e-01,1.565746831501356072e-03
3.570399466814448974e+00,6.397447607341497644e-01,1.572636235755759185e-03
3.578675578596341555e+00,6.413326142188061629e-01,1.579555953908952327e-03
3.586988105894825640e+00,6.429244200007208088e-01,1.586506119344378244e-03
3.595337208940922569e+00,6.445201865578835676e-01,1.593486866032377183e-03
3.603723048670683493e+00,6.461199225636509169e-01,1.600498328532769243e-03
3.612145786728290009e+00,6.477236368921363008e-01,1.607540641997448009e-03
3.620605585469168552e+00,6.493313386237070661e-01,1.614613942172983931e-03
3.629102607963123894e+00,6.509430370505905339e-01,1.621718365403244629e-03
3.637637017997480626e+00,6.525587416825857634e-01,1.628854048632021479e-03
3.646208980080237083e+00,6.541784622528865611e-01,1.636021129405665310e-03
3.654818659443241913e+00,6.558022087240186204e-01,1.643219745875745515e-03
3.663466222045375087e+00,6.574299912938899038e-01,1.650450036801705917e-03
3.672151834575748897e+00,6.590618204019558224e-01,1.657712141553544264e-03
3.680875664456919605e+00,6.606977067355048749e-01,1.665006200114495629e-03
3.689637879848116864e+00,6.623376612360624138e-01,1.672332353083733156e-03
3.698438649648480236e+00,6.639816951059165362e-01,1.679690741679074452e-03
3.707278143500322809e+00,6.656298198147695411e-01,1.687081507739709215e-03
3.716156531792392581e+00,6.672820471065127323e-01,1.694504793728927958e-03
3.725073985663162723e+00,6.689383890061303406e-01,1.701960742736871330e-03
3.734030677004128940e+00,6.705988578267350064e-01,1.709449498483287238e-03
3.743026778463122373e+00,6.722634661767319386e-01,1.716971205320302288e-03
3.752062463447637164e+00,6.739322269671210730e-01,1.724526008235202331e-03
3.761137906128173114e+00,6.756051534189325691e-01,1.732114052853227964e-03
3.770253281441596549e+00,6.772822590708034163e-01,1.739735485440383703e-03
3.779408765094502520e+00,6.789635577866917071e-01,1.747390452906251706e-03
3.788604533566616084e+00,6.806490634274823259e-01,1.755079102806832592e-03
3.797840764114179812e+00,6.823387861563152690e-01,1.762801583347379120e-03
3.807117634773381720e+00,6.840327337064724400e-01,1.770558043385262164e-03
3.816435324363780524e+00,6.857309139336307258e-01,1.778348632432834959e-03
3.825794012491755325e+00,6.874333348664396492e-01,1.786173500660316648e-03
3.835193879553965957e+00,6.891400047115936456e-01,1.794032798898686446e-03
3.844635106740831976e+00,6.908509318590067005e-01,1.801926678642591260e-03
3.854117876040024537e+00,6.925661248870889075e-01,1.809855292053266741e-03
3.863642370239971591e+00,6.942855925681277185e-01,1.817818791961467017e-03
3.873208772933389721e+00,6.960093438737774418e-01,1.825817331870416976e-03
3.882817268520810217e+00,6.977373879806535450e-01,1.833851065958762381e-03
3.892468042214145996e+00,6.994697342760414216e-01,1.841920149083550772e-03
