# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
8.874399999999998556e+01,6.673981439184173414e-02,9.999999999999998224e+00
1.039999999999999858e+02,6.198292831778782347e-02,1.099999999999999822e+01
1.209999999999999858e+02,5.792161609340221173e-02,1.199999999999999822e+01
1.390000000000000000e+02,5.439439635208632301e-02,1.299999999999999822e+01
1.580000000000000000e+02,5.131429753843999575e-02,1.399999999999999645e+01
1.779999999999999716e+02,4.858198564962781796e-02,1.499999999999999645e+01
1.989999999999999716e+02,4.616016233771522148e-02,1.599999999999999645e+01
2.209999999999999716e+02,4.397434261569545255e-02,1.699999999999999645e+01
2.439999999999999716e+02,4.201206473936671543e-02,1.799999999999999645e+01
2.940000000000000000e+02,3.860916454976885681e-02,1.999999999999999645e+01
3.619999999999999432e+02,3.511935486524990491e-02,2.249999999999999645e+01
4.359999999999999432e+02,3.223812265080746448e-02,2.499999999999999645e+01
5.170000000000000000e+02,2.984123523939422734e-02,2.749999999999999289e+01
6.040000000000000000e+02,2.779210992862350335e-02,2.999999999999999289e+01
6.969999999999998863e+02,2.604103627474223595e-02,3.249999999999999289e+01
7.119999999999998863e+02,2.579264541322256674e-02,3.289999999999999147e+01
